Gender,Total_LaborForce_x1000,Working,Partially_NotWorking,Pct
Mannen en vrouwen,4240,4193,47,1.1
Mannen en vrouwen,4257,4221,37,0.9
Mannen en vrouwen,4353,4316,37,0.8
Mannen en vrouwen,4428,4387,41,0.9
Mannen en vrouwen,4469,4432,37,0.8
Mannen en vrouwen,4555,4513,42,0.9
Mannen en vrouwen,4629,4572,56,1.2
Mannen en vrouwen,4642,4542,100,2.2
Mannen en vrouwen,4691,4598,93,2.0
Mannen en vrouwen,4769,4696,73,1.5
Mannen en vrouwen,4806,4739,67,1.4
Mannen en vrouwen,4858,4770,88,1.8
Mannen en vrouwen,4907,4770,137,2.8
Mannen en vrouwen,4972,4832,140,2.8
Mannen en vrouwen,5000,4834,166,3.3
Mannen en vrouwen,4998,4782,215,4.3
Mannen en vrouwen,5099,4858,241,4.7
Mannen en vrouwen,5136,4909,227,4.4
Mannen en vrouwen,5191,4954,236,4.5
Mannen en vrouwen,5301,5051,250,4.7
Mannen en vrouwen,5293,5037,256,4.8
Mannen en vrouwen,5379,5042,337,6.3
Mannen en vrouwen,5385,4914,471,8.7
Mannen en vrouwen,5458,4873,585,10.7
Mannen en vrouwen,5460,4886,574,10.5
Mannen en vrouwen,5521,4991,530,9.6
Mannen en vrouwen,5671,5181,490,8.6
Mannen en vrouwen,5743,5257,486,8.5
Mannen en vrouwen,5867,5378,490,8.4
Mannen en vrouwen,5929,5477,452,7.6
Mannen en vrouwen,6063,5644,419,6.9
Mannen en vrouwen,6189,5790,400,6.5
Mannen en vrouwen,6296,5885,411,6.5
Mannen en vrouwen,6406,5925,481,7.5
Mannen en vrouwen,6466,5920,547,8.5
Mannen en vrouwen,6596,6063,533,8.1
Mannen en vrouwen,6686,6185,501,7.5
Mannen en vrouwen,6832,6384,448,6.6
Mannen en vrouwen,6941,6587,354,5.1
Mannen en vrouwen,7069,6768,301,4.3
Mannen en vrouwen,7187,6917,270,3.8
Mannen en vrouwen,7273,7021,252,3.5
Mannen en vrouwen,7312,7010,302,4.1
Mannen en vrouwen,7364,6968,396,5.4
Mannen en vrouwen,7417,6941,476,6.4
Mannen en vrouwen,7455,6973,482,6.5
Mannen en vrouwen,7507,7097,410,5.5
Mannen en vrouwen,7653,7309,344,4.5
Mannen en vrouwen,7801,7501,300,3.8
Mannen en vrouwen,7846,7469,377,4.8
Mannen en vrouwen,7817,7391,426,5.4
Mannen en vrouwen,7811,7392,419,5.4
Mannen en vrouwen,7894,7387,507,6.4
Mannen en vrouwen,7939,7283,656,8.3
Mannen,3077,3046,31,1.0
Mannen,3078,3055,23,0.7
Mannen,3136,3115,21,0.7
Mannen,3187,3162,24,0.8
Mannen,3229,3208,21,0.7
Mannen,3270,3244,26,0.8
Mannen,3310,3273,37,1.1
Mannen,3342,3271,71,2.1
Mannen,3357,3294,63,1.9
Mannen,3379,3333,46,1.4
Mannen,3410,3371,39,1.1
Mannen,3405,3353,52,1.5
Mannen,3470,3383,86,2.5
Mannen,3487,3403,84,2.4
Mannen,3503,3404,99,2.8
Mannen,3506,3384,122,3.5
Mannen,3544,3405,139,3.9
Mannen,3559,3435,123,3.5
Mannen,3563,3444,119,3.3
Mannen,3593,3466,127,3.5
Mannen,3596,3469,126,3.5
Mannen,3632,3451,181,5.0
Mannen,3619,3346,273,7.5
Mannen,3636,3280,356,9.8
Mannen,3635,3289,346,9.5
Mannen,3643,3337,306,8.4
Mannen,3694,3432,262,7.1
Mannen,3763,3536,226,6.0
Mannen,3797,3564,233,6.1
Mannen,3825,3619,206,5.4
Mannen,3865,3686,179,4.6
Mannen,3912,3732,180,4.6
Mannen,3967,3781,186,4.7
Mannen,3999,3771,228,5.7
Mannen,4014,3747,266,6.6
Mannen,4067,3814,253,6.2
Mannen,4098,3870,228,5.6
Mannen,4140,3940,200,4.8
Mannen,4190,4036,153,3.7
Mannen,4233,4105,128,3.0
Mannen,4275,4162,114,2.7
Mannen,4293,4185,109,2.5
Mannen,4323,4176,147,3.4
Mannen,4317,4111,206,4.8
Mannen,4315,4068,247,5.7
Mannen,4306,4069,236,5.5
Mannen,4291,4100,191,4.5
Mannen,4339,4185,154,3.5
Mannen,4408,4266,142,3.2
Mannen,4397,4200,197,4.5
Mannen,4337,4119,218,5.0
Mannen,4319,4095,224,5.2
Mannen,4343,4069,274,6.3
Mannen,4354,3999,355,8.2
Vrouwen,1163,1147,16,1.4
Vrouwen,1179,1165,13,1.1
Vrouwen,1217,1201,16,1.3
Vrouwen,1241,1225,16,1.3
Vrouwen,1240,1224,16,1.3
Vrouwen,1285,1269,17,1.3
Vrouwen,1318,1299,19,1.4
Vrouwen,1300,1271,28,2.2
Vrouwen,1334,1304,30,2.2
Vrouwen,1390,1363,27,1.9
Vrouwen,1396,1368,28,2.0
Vrouwen,1453,1417,36,2.5
Vrouwen,1437,1387,50,3.5
Vrouwen,1486,1429,57,3.8
Vrouwen,1498,1430,68,4.5
Vrouwen,1491,1398,93,6.2
Vrouwen,1555,1454,101,6.5
Vrouwen,1577,1473,104,6.6
Vrouwen,1628,1511,117,7.2
Vrouwen,1708,1585,123,7.2
Vrouwen,1697,1567,130,7.7
Vrouwen,1746,1591,156,8.9
Vrouwen,1767,1568,198,11.2
Vrouwen,1822,1593,229,12.6
Vrouwen,1824,1597,227,12.4
Vrouwen,1878,1654,224,11.9
Vrouwen,1977,1749,228,11.5
Vrouwen,1980,1721,259,13.1
Vrouwen,2070,1814,257,12.4
Vrouwen,2104,1858,246,11.7
Vrouwen,2198,1958,240,10.9
Vrouwen,2277,2057,220,9.7
Vrouwen,2330,2105,225,9.7
Vrouwen,2407,2154,253,10.5
Vrouwen,2452,2172,280,11.4
Vrouwen,2529,2249,281,11.1
Vrouwen,2588,2315,273,10.5
Vrouwen,2692,2444,248,9.2
Vrouwen,2751,2551,201,7.3
Vrouwen,2836,2663,173,6.1
Vrouwen,2912,2755,157,5.4
Vrouwen,2980,2836,143,4.8
Vrouwen,2989,2834,155,5.2
Vrouwen,3047,2857,190,6.2
Vrouwen,3102,2873,229,7.4
Vrouwen,3149,2904,245,7.8
Vrouwen,3216,2997,219,6.8
Vrouwen,3314,3124,190,5.7
Vrouwen,3393,3235,158,4.7
Vrouwen,3449,3269,180,5.2
Vrouwen,3480,3272,208,6.0
Vrouwen,3492,3297,195,5.6
Vrouwen,3551,3318,233,6.6
Vrouwen,3585,3284,301,8.4
